Date-Time,Price,Market Cap,Volume,Circulating Supply
2021-11-08T19:11:32,67693.22,2924207000167,37970187966,18867825.00 BTC
2021-11-08T19:12:39,67693.22,2924207000167,37970187966,18867825.00 BTC
2021-11-08T19:19:03,67683.31,2927421121248,37978655269,18867825.00 BTC
2021-11-08T19:20:16,67819.39,2927653290090,38070510492,18867825.00 BTC
2021-11-08T22:41:03,68043.16,2939943170054,40613571226,18867950.00 BTC
2021-11-08T22:53:24,67965.65,2933730368918,40540239106,18867950.00 BTC
2021-11-08T22:54:07,67965.65,2933730368918,40540239106,18867950.00 BTC
2021-11-08T23:04:15,67904.21,2937618917927,40493396393,18867950.00 BTC
2021-11-08T23:14:21,68063.80,2939480564051,40479749054,18867950.00 BTC
2021-11-08T23:24:28,68172.14,2943116256211,40503679481,18867950.00 BTC
2021-11-08T23:34:36,67978.04,2939613668450,40492750095,18867950.00 BTC
2021-11-08T23:44:44,67937.97,2936228329948,40498499580,18867950.00 BTC
2021-11-08T23:54:51,67874.48,2931951832748,40471486030,18867950.00 BTC
2021-11-09T00:04:59,67919.67,2935554306965,40612462974,18867950.00 BTC
2021-11-09T00:15:06,67947.04,2931397333564,40599615418,18867950.00 BTC
2021-11-09T00:25:13,67853.26,2934596373541,40583074970,18868018.00 BTC
2021-11-09T00:35:22,67945.45,2937116359814,40657939785,18868018.00 BTC
2021-11-09T00:45:29,68001.91,2940140657299,40759933065,18868018.00 BTC
2021-11-09T00:55:36,68037.17,2941463569555,40801643580,18868018.00 BTC
2021-11-09T01:05:44,68064.24,2944840811571,40741776335,18868018.00 BTC
2021-11-09T01:15:51,68095.38,2943767241242,40603141888,18868018.00 BTC
2021-11-09T01:25:57,67943.19,2941942198247,40496119604,18868018.00 BTC
2021-11-09T01:36:05,67966.82,2942573451752,40514249878,18868018.00 BTC
2021-11-09T01:46:12,67959.41,2942010760547,40595714833,18868018.00 BTC
2021-11-09T01:56:19,68203.94,2946763112998,40647855123,18868018.00 BTC
2021-11-09T02:06:27,68286.43,2949550648916,40661626105,18868018.00 BTC
2021-11-09T02:16:34,68259.23,2949875419134,40612111551,18868018.00 BTC
2021-11-09T02:26:40,68278.20,2950301533013,40658915294,18868131.00 BTC
2021-11-09T02:36:48,68237.27,2945755771498,40702709298,18868131.00 BTC
2021-11-09T02:46:55,68071.55,2945078298177,40771320757,18868131.00 BTC
2021-11-09T02:57:02,68024.28,2943068386822,40762957418,18868131.00 BTC
2021-11-09T03:07:09,67879.33,2936046715737,40798420586,18868131.00 BTC
2021-11-09T03:17:17,67917.63,2934330924423,40750911524,18868131.00 BTC
2021-11-09T03:27:24,67796.35,2934191917439,40689462220,18868131.00 BTC
2021-11-09T03:37:31,67764.80,2931813291026,40744717975,18868131.00 BTC
2021-11-09T03:47:38,67403.63,2922680111784,40876939179,18868131.00 BTC
2021-11-09T03:57:45,67570.96,2919516339261,41135688683,18868131.00 BTC
2021-11-09T04:07:53,67630.66,2924916751337,41233247745,18868131.00 BTC
2021-11-09T04:18:01,67545.79,2920678633372,41196494234,18868131.00 BTC
2021-11-09T04:28:09,67398.15,2914721908534,41189476056,18868218.00 BTC
2021-11-09T04:38:16,67440.64,2920456854889,41313530514,18868218.00 BTC
2021-11-09T04:48:23,67642.59,2928975260212,41533115404,18868218.00 BTC
2021-11-09T04:58:30,67669.09,2926637537977,41672516646,18868218.00 BTC
2021-11-09T05:08:38,67592.23,2922532540559,41657944552,18868218.00 BTC
2021-11-09T05:18:44,67863.65,2934786618301,41747738864,18868218.00 BTC
2021-11-09T05:28:52,67847.63,2933280234724,41788577035,18868218.00 BTC
2021-11-09T05:38:59,67722.98,2930141674088,41739671718,18868218.00 BTC
2021-11-09T05:49:07,67739.38,2937560888216,41685806856,18868218.00 BTC
2021-11-09T05:59:13,67897.06,2939552985785,41662260378,18868218.00 BTC
2021-11-09T06:09:21,68058.79,2943316052488,41748679980,18868218.00 BTC
2021-11-09T06:19:28,67986.69,2940894831258,41723574070,18868281.00 BTC
2021-11-09T06:29:35,67905.20,2937754998609,41742520925,18868281.00 BTC
2021-11-09T06:39:43,67862.77,2939042781097,41893042083,18868281.00 BTC
2021-11-09T06:49:51,67928.41,2944567398102,42005550405,18868281.00 BTC
2021-11-09T06:59:58,67660.82,2928977065457,41984189602,18868281.00 BTC
2021-11-09T07:10:11,67310.74,2899255430177,42137991869,18868281.00 BTC
2021-11-09T07:20:28,67066.41,2908193037063,42638603020,18868281.00 BTC
2021-11-09T07:30:35,67254.85,2914793236439,43038589200,18868281.00 BTC
2021-11-09T07:40:42,67073.90,2920177169919,43261345524,18868281.00 BTC
2021-11-09T07:50:49,66979.77,2907653173746,43315958786,18868281.00 BTC
2021-11-09T08:00:57,66827.39,2906674875867,43277160125,18868281.00 BTC
2021-11-09T08:11:04,66742.05,2906812846551,43238514527,18868281.00 BTC
2021-11-09T08:21:11,66588.49,2893922773898,43211027789,18868406.00 BTC
2021-11-09T08:31:19,66771.57,2903355551869,43393984040,18868406.00 BTC
2021-11-09T08:41:26,66751.28,2905857399854,43583149340,18868406.00 BTC
2021-11-09T08:51:34,66735.52,2912863151800,43570108158,18868406.00 BTC
2021-11-09T09:01:43,66846.96,2907147369066,43670161806,18868406.00 BTC
2021-11-09T09:11:50,66585.55,2895818456145,43525349813,18868406.00 BTC
2021-11-09T09:21:57,66521.12,2888728407044,43536825695,18868406.00 BTC
2021-11-09T09:32:05,66582.91,2894306707809,43653583951,18868406.00 BTC
2021-11-09T09:42:12,66622.54,2900419632589,43698086139,18868406.00 BTC
2021-11-09T09:52:19,66731.36,2907844151516,43644395160,18868406.00 BTC
2021-11-09T10:02:27,66857.91,2909034218087,43770356580,18868406.00 BTC
2021-11-09T10:12:34,66869.06,2909967309939,43705528246,18868406.00 BTC
2021-11-09T10:22:42,67215.89,2913844866559,43787003314,18868406.00 BTC
2021-11-09T10:32:50,67013.96,2888464518722,43825947226,18868506.00 BTC
2021-11-09T10:42:57,66861.59,2908146645498,43735991215,18868506.00 BTC
2021-11-09T10:53:04,66750.51,2903385326630,43544998483,18868506.00 BTC
2021-11-09T11:03:10,66606.83,2896829010008,43490343686,18868506.00 BTC
2021-11-09T11:13:17,66521.91,2893582427966,43446506956,18868506.00 BTC
2021-11-09T11:23:24,66466.68,2882292758109,43442220710,18868506.00 BTC
2021-11-09T11:33:31,66605.05,2890314036303,43596533202,18868506.00 BTC
2021-11-09T11:43:38,66523.06,2888983337999,43566356400,18868506.00 BTC
2021-11-09T11:53:45,66724.76,2896941305177,43700507229,18868506.00 BTC
2021-11-09T12:03:53,66826.84,2901760326141,43816366138,18868506.00 BTC
2021-11-09T12:14:00,66799.27,2899987733429,43727097351,18868506.00 BTC
2021-11-09T12:24:07,66834.30,2896876056515,43716955444,18868562.00 BTC
2021-11-09T12:34:14,67072.87,2906915714632,43874706389,18868562.00 BTC
2021-11-09T12:44:21,66990.42,2909732363954,43863138500,18868562.00 BTC
2021-11-09T12:54:28,67277.63,2914448605374,43948163673,18868562.00 BTC
2021-11-09T13:04:35,67235.13,2918091136465,43904627435,18868562.00 BTC
2021-11-09T13:14:42,67354.64,2919736367493,43838659822,18868562.00 BTC
2021-11-09T13:24:49,67456.97,2917729411217,43793802287,18868562.00 BTC
2021-11-09T13:34:56,67421.88,2915935279100,43586997563,18868562.00 BTC
2021-11-09T13:45:03,67533.99,2919788202112,43610528367,18868562.00 BTC
2021-11-09T13:55:10,67554.29,2923880308119,43644995522,18868562.00 BTC
2021-11-09T14:05:18,67752.05,2928314071028,43765642862,18868562.00 BTC
2021-11-09T14:15:25,67671.40,2927173719918,43676619869,18868562.00 BTC
2021-11-09T14:25:32,67541.63,2917130891031,43605549554,18868637.00 BTC
2021-11-09T14:35:42,67340.53,2905632025475,43565574221,18868637.00 BTC
2021-11-09T14:45:50,67059.61,2916518202817,43507852436,18868637.00 BTC
2021-11-09T14:55:57,67298.11,2915864067278,43571707592,18868637.00 BTC
2021-11-09T15:06:04,67355.53,2916014226736,43572257683,18868637.00 BTC
2021-11-09T15:16:11,67194.38,2913251967101,43403133985,18868637.00 BTC
2021-11-09T15:26:18,67258.16,2915576843098,42889105593,18868637.00 BTC
2021-11-09T15:36:25,67300.98,2914384365510,42613607629,18868637.00 BTC
2021-11-09T15:46:32,67134.39,2903835142227,42468293085,18868637.00 BTC
2021-11-09T15:56:39,67071.71,2899461833530,42411149202,18868637.00 BTC
2021-11-09T16:06:47,67031.34,2901011407558,42344700553,18868637.00 BTC
2021-11-09T16:16:54,66893.72,2900799920448,42134804902,18868706.00 BTC
2021-11-09T16:27:00,67274.97,2885393643225,42155430914,18868706.00 BTC
2021-11-09T16:37:08,67277.77,2914086805344,42102131754,18868706.00 BTC
2021-11-09T16:47:16,67174.25,2901332649841,41963293634,18868706.00 BTC
2021-11-09T16:57:23,66853.66,2891933911405,41615358305,18868706.00 BTC
2021-11-09T17:07:30,66888.28,2895396674287,41514087803,18868706.00 BTC
2021-11-09T17:17:37,67164.55,2903745106372,41567315738,18868706.00 BTC
2021-11-09T17:27:45,67089.79,2901517620857,41488740777,18868706.00 BTC
2021-11-09T17:37:52,67058.47,2903144739493,41183656392,18868706.00 BTC
2021-11-09T17:48:00,67264.09,2909170976627,41082746194,18868706.00 BTC
2021-11-09T17:58:07,67089.86,2902047864321,40855650749,18868706.00 BTC
2021-11-09T18:08:14,67119.33,2900741074291,40645512170,18868706.00 BTC
2021-11-09T18:18:21,67156.54,2908207364434,40645920753,18868706.00 BTC
2021-11-09T18:28:28,67086.79,2909409464839,40522148901,18868800.00 BTC
2021-11-09T18:38:36,67040.63,2908122315961,40464696640,18868800.00 BTC
2021-11-09T18:48:43,66892.11,2896796067809,40302325013,18868800.00 BTC
2021-11-09T18:58:50,66925.98,2900413874319,40233312558,18868800.00 BTC
2021-11-09T19:08:57,66835.42,2892067109901,40200279236,18868800.00 BTC
2021-11-09T19:19:05,66665.21,2887433172928,40002964685,18868800.00 BTC
2021-11-09T19:29:12,66511.47,2883026120108,39885286055,18868800.00 BTC
2021-11-09T19:39:20,66465.01,2878432528950,39763277311,18868800.00 BTC
2021-11-09T19:49:27,66540.25,2876645980914,39812363987,18868800.00 BTC
2021-11-09T19:59:35,66568.21,2877235940251,39360802759,18868800.00 BTC
2021-11-09T20:09:42,66437.05,2875223884207,39118110787,18868800.00 BTC
2021-11-09T20:19:49,66409.39,2872114159424,39176958574,18868800.00 BTC
2021-11-09T20:29:56,66430.89,2879172760566,39239115951,18868887.00 BTC
2021-11-09T20:40:05,66499.67,2885142917453,39237815153,18868887.00 BTC
2021-11-09T20:50:14,66574.84,2890319409253,39257360589,18868887.00 BTC
2021-11-09T21:00:25,66645.22,2892799422878,39175119250,18868887.00 BTC
2021-11-09T21:10:32,66574.57,2887535974489,39005211263,18868887.00 BTC
2021-11-09T21:20:39,66483.17,2882304381873,38872482918,18868887.00 BTC
2021-11-09T21:30:47,66484.85,2887122890768,38730686406,18868887.00 BTC
2021-11-09T21:40:54,66490.02,2886377600131,38516394473,18868887.00 BTC
2021-11-09T21:51:02,66419.69,2886686278806,38504641934,18868887.00 BTC
2021-11-09T22:01:09,66471.35,2885739185441,38513325861,18868887.00 BTC
2021-11-09T22:11:16,66422.56,2883924122610,38321593529,18868887.00 BTC
2021-11-09T22:21:23,66657.71,2893038400643,38193423791,18868912.00 BTC
2021-11-09T22:31:30,66515.57,2888662341128,38040863490,18868912.00 BTC
2021-11-09T22:41:37,66420.65,2888123527732,37946859068,18868912.00 BTC
2021-11-09T22:51:46,66377.91,2888067451329,37918716404,18868912.00 BTC
2021-11-09T23:01:53,66566.04,2897724401981,37986530921,18868912.00 BTC
2021-11-09T23:12:02,66566.40,2898254617476,37863911080,18868912.00 BTC
2021-11-09T23:22:08,66594.34,2898137272098,37504471046,18868912.00 BTC
2021-11-09T23:32:15,66648.06,2899457007352,37470312612,18868912.00 BTC
2021-11-09T23:35:26,66740.47,2904240394672,37378058739,18868912.00 BTC
2021-11-09T23:45:33,66520.93,2900406137302,37228605417,18868912.00 BTC
2021-11-09T23:55:42,66511.22,2898095588291,37493854512,18868912.00 BTC
2021-11-10T00:05:49,66414.02,2898033294344,37338992769,18868912.00 BTC
2021-11-10T00:15:57,66486.09,2895178314121,37215295865,18868912.00 BTC
2021-11-10T00:26:05,66599.74,2898868638775,37241302002,18869031.00 BTC
2021-11-10T00:36:14,66726.73,2903760462417,37250945564,18869031.00 BTC
2021-11-10T00:46:22,66677.95,2899168095247,37056011797,18869031.00 BTC
2021-11-10T00:56:31,66648.94,2896639787885,37009672760,18869031.00 BTC
2021-11-10T01:06:39,66753.56,2900707366204,36923258540,18869031.00 BTC
2021-11-10T01:16:47,66772.89,2857557703317,36792058672,18869031.00 BTC
2021-11-10T01:26:54,66592.77,2895365675025,36619402058,18869031.00 BTC
2021-11-10T01:37:01,66687.44,2903279527799,36611860268,18869031.00 BTC
2021-11-10T01:47:08,66735.89,2902667371955,36531229254,18869031.00 BTC
2021-11-10T01:57:16,66711.96,2901429800695,36510018546,18869031.00 BTC
2021-11-10T02:07:24,66595.38,2899091139112,36443121460,18869031.00 BTC
2021-11-10T02:17:31,66767.42,2904551476204,36391126347,18869031.00 BTC
2021-11-10T02:27:38,66980.23,2913578253825,36424252955,18869093.00 BTC
2021-11-10T02:37:46,66945.28,2913427956433,36400856710,18869093.00 BTC
2021-11-10T02:47:53,66958.28,2916728809716,36268988178,18869093.00 BTC
2021-11-10T02:58:01,66862.93,2922557356228,36223782463,18869093.00 BTC
2021-11-10T03:08:09,66782.99,2894089826321,36143800038,18869093.00 BTC
2021-11-10T03:18:17,66845.25,2908963747032,36134141312,18869093.00 BTC
